index,occupation,energy_Eh,energy_eV,irrep
1711,0.0,23.677068,644.2858,
1712,0.0,23.754401,646.3901,
1713,0.0,24.031832,653.9394,
1714,0.0,32.74223,890.9614,
1715,0.0,32.760932,891.4703,
1716,0.0,33.207599,903.6247,
1717,0.0,44.09462,1199.8756,
1718,0.0,44.128351,1200.7935,
1719,0.0,44.171934,1201.9794,
1720,0.0,44.3558,1206.9827,
1721,0.0,44.560322,1212.548,
