index,occupation,energy_Eh,energy_eV,irrep
445,0.0,0.674516,18.3545,
446,0.0,0.713971,19.4281,
447,0.0,0.714296,19.437,
448,0.0,0.714676,19.4473,
449,0.0,0.71667,19.5016,
450,0.0,0.716737,19.5034,
451,0.0,0.716881,19.5073,
452,0.0,0.723276,19.6813,
453,0.0,0.723345,19.6832,
454,0.0,0.723461,19.6864,
455,0.0,0.723529,19.6882,
456,0.0,0.723567,19.6893,
457,0.0,0.723661,19.6918,
458,0.0,0.723717,19.6933,
459,0.0,0.723795,19.6955,
460,0.0,0.72386,19.6972,
461,0.0,0.730948,19.8901,
462,0.0,0.731105,19.8944,
463,0.0,0.731232,19.8978,
464,0.0,0.731622,19.9084,
465,0.0,0.73177,19.9125,
466,0.0,0.736049,20.0289,
467,0.0,0.75118,20.4406,
468,0.0,0.751185,20.4408,
469,0.0,0.7512,20.4412,
470,0.0,0.752793,20.4845,
471,0.0,0.753901,20.5147,
472,0.0,0.754226,20.5235,
473,0.0,0.754649,20.535,
474,0.0,0.765094,20.8193,
475,0.0,0.765128,20.8202,
476,0.0,0.765895,20.8411,
477,0.0,0.766449,20.8561,
478,0.0,0.766746,20.8642,
479,0.0,0.766806,20.8658,
480,0.0,0.76692,20.869,
481,0.0,0.767183,20.8761,
482,0.0,0.76747,20.8839,
483,0.0,0.767558,20.8863,
484,0.0,0.771435,20.9918,
485,0.0,0.77151,20.9939,
486,0.0,0.771624,20.9969,
487,0.0,0.771746,21.0003,
488,0.0,0.785515,21.3749,
489,0.0,0.786013,21.3885,
490,0.0,0.786205,21.3937,
491,0.0,0.801729,21.8162,
492,0.0,0.807856,21.9829,
493,0.0,0.813968,22.1492,
494,0.0,0.814053,22.1515,
495,0.0,0.814073,22.152,
496,0.0,0.828115,22.5341,
497,0.0,0.828122,22.5343,
498,0.0,0.828125,22.5344,
499,0.0,0.828509,22.5449,
500,0.0,0.82855,22.546,
501,0.0,0.828591,22.5471,
502,0.0,0.828655,22.5488,
503,0.0,0.830302,22.5937,
504,0.0,0.830388,22.596,
505,0.0,0.830769,22.6064,
506,0.0,0.837126,22.7794,
507,0.0,0.839426,22.842,
508,0.0,0.839847,22.8534,
509,0.0,0.83985,22.8535,
510,0.0,0.839858,22.8537,
511,0.0,0.84314,22.943,
512,0.0,0.846275,23.0283,
513,0.0,0.854992,23.2655,
514,0.0,0.856124,23.2963,
515,0.0,0.85634,23.3022,
516,0.0,0.856845,23.3159,
517,0.0,0.858585,23.3633,
518,0.0,0.858621,23.3643,
519,0.0,0.858647,23.365,
520,0.0,0.864451,23.5229,
521,0.0,0.864471,23.5235,
522,0.0,0.864488,23.5239,
523,0.0,0.864497,23.5242,
524,0.0,0.864514,23.5246,
525,0.0,0.873096,23.7581,
