block_index,method,manifold,order_in_block,state,state_label,symmetry,energy_au,energy_eV,energy_cm1,wavelength_nm,s_squared,multiplicity,dominant_from_orbital,dominant_to_orbital,dominant_weight,dominant_coefficient
17,TD-DFT/TDA,SINGLETS,2,2,,,0.167984,4.571,36868.3,271.23572282963954,0.0,1,169a,172a,0.749947,0.86599491
17,TD-DFT/TDA,SINGLETS,3,3,,,0.17298,4.707,37964.8,263.4018880647336,0.0,1,169a,173a,0.612507,-0.7826282
17,TD-DFT/TDA,SINGLETS,4,4,,,0.178494,4.857,39175.0,255.26483726866624,0.0,1,168a,171a,0.762734,0.8733467
17,TD-DFT/TDA,SINGLETS,5,5,,,0.186162,5.066,40857.8,244.7513081957423,0.0,1,169a,177a,0.310086,-0.55685351
17,TD-DFT/TDA,SINGLETS,6,6,,,0.195332,5.315,42870.5,233.26063376914195,0.0,1,162a,172a,0.288537,0.53715665
17,TD-DFT/TDA,SINGLETS,7,7,,,0.196969,5.36,43229.7,231.32244729896345,0.0,1,167a,170a,0.289646,0.53818742
17,TD-DFT/TDA,SINGLETS,8,8,,,0.202726,5.516,44493.3,224.75294033034186,0.0,1,169a,171a,0.738184,0.8591766
17,TD-DFT/TDA,SINGLETS,9,9,,,0.204198,5.557,44816.2,223.1335990110719,0.0,1,165a,170a,0.260977,-0.51085886
18,TD-DFT/TDA,SINGLETS,1,1,,,0.125956,3.427,27644.1,361.7408416262422,0.0,1,169a,170a,0.933796,0.96633132
18,TD-DFT/TDA,SINGLETS,2,2,,,0.168072,4.573,36887.5,271.09454422229754,0.0,1,169a,172a,0.744817,-0.86302806
18,TD-DFT/TDA,SINGLETS,3,3,,,0.172908,4.705,37948.8,263.51294375579727,0.0,1,169a,173a,0.611203,-0.78179484
18,TD-DFT/TDA,SINGLETS,4,4,,,0.1785,4.857,39176.3,255.2563667319272,0.0,1,168a,171a,0.762047,-0.87295318
18,TD-DFT/TDA,SINGLETS,5,5,,,0.186124,5.065,40849.5,244.80103795640093,0.0,1,169a,177a,0.308993,-0.55587144
18,TD-DFT/TDA,SINGLETS,6,6,,,0.195366,5.316,42877.8,233.22092084948386,0.0,1,162a,172a,0.2869,-0.53563024
18,TD-DFT/TDA,SINGLETS,7,7,,,0.196942,5.359,43223.9,231.35348730679092,0.0,1,167a,170a,0.289452,0.53800716
18,TD-DFT/TDA,SINGLETS,8,8,,,0.202806,5.519,44510.8,224.66457578834797,0.0,1,169a,171a,0.733261,-0.85630672
18,TD-DFT/TDA,SINGLETS,9,9,,,0.204106,5.554,44796.2,223.23322067496798,0.0,1,165a,170a,0.271275,0.52084055
19,TD-DFT/TDA,SINGLETS,1,1,,,0.126154,3.433,27687.6,361.1725104378856,0.0,1,169a,170a,0.934248,0.96656527
19,TD-DFT/TDA,SINGLETS,2,2,,,0.168626,4.589,37009.2,270.2030846384142,0.0,1,169a,172a,0.733637,-0.85652628
19,TD-DFT/TDA,SINGLETS,3,3,,,0.172982,4.707,37965.3,263.39841908268863,0.0,1,169a,173a,0.604771,-0.77767043
19,TD-DFT/TDA,SINGLETS,4,4,,,0.178437,4.856,39162.4,255.3469654566625,0.0,1,168a,171a,0.762566,-0.87325013
19,TD-DFT/TDA,SINGLETS,5,5,,,0.186197,5.067,40865.4,244.70579022840838,0.0,1,169a,177a,0.30838,0.55531972
19,TD-DFT/TDA,SINGLETS,6,6,,,0.195634,5.323,42936.7,232.90099145952067,0.0,1,162a,172a,0.2849,0.53376057
19,TD-DFT/TDA,SINGLETS,7,7,,,0.197128,5.364,43264.5,231.13638202221222,0.0,1,167a,170a,0.283842,0.53276801
19,TD-DFT/TDA,SINGLETS,8,8,,,0.20313,5.527,44581.9,224.30627676254264,0.0,1,169a,171a,0.721359,-0.84932854
19,TD-DFT/TDA,SINGLETS,9,9,,,0.204201,5.557,44816.9,223.13011386329708,0.0,1,165a,170a,0.297291,0.54524437
20,TD-DFT/TDA,SINGLETS,1,1,,,0.126286,3.436,27716.7,360.79331233516257,0.0,1,169a,170a,0.934491,0.96669056
20,TD-DFT/TDA,SINGLETS,2,2,,,0.169013,4.599,37094.0,269.5853776891141,0.0,1,169a,172a,0.727658,-0.85302859
20,TD-DFT/TDA,SINGLETS,3,3,,,0.172968,4.707,37962.2,263.41992824441155,0.0,1,169a,173a,0.60427,-0.77734779
20,TD-DFT/TDA,SINGLETS,4,4,,,0.178372,4.854,39148.2,255.43958598351907,0.0,1,168a,171a,0.762378,-0.8731426
20,TD-DFT/TDA,SINGLETS,5,5,,,0.186265,5.069,40880.4,244.61600180037377,0.0,1,169a,177a,0.307533,-0.55455617
20,TD-DFT/TDA,SINGLETS,6,6,,,0.195824,5.329,42978.4,232.67501814865142,0.0,1,162a,172a,0.284693,-0.53356595
20,TD-DFT/TDA,SINGLETS,7,7,,,0.197281,5.368,43298.2,230.95648317943935,0.0,1,167a,170a,0.27485,-0.5242615
20,TD-DFT/TDA,SINGLETS,8,8,,,0.203368,5.534,44634.1,224.0439484609301,0.0,1,169a,171a,0.712196,0.84391687
